Timestamp,T_Supply,T_Return,SP_Return,T_Saturation,T_Outdoor,RH_Supply,RH_Return,RH_Outdoor,Energy,Power,delta_h,KPI,T_wb_out,month,day,hour
2019-12-09 14:30:00,24.589999,21.979999499999998,22.5,17.3099995,15.6,40.465,34.889999,62.0,12.5,4.992,11.437780775233474,2.023688743013061,4.287536000850107,12,9,14
2019-12-09 15:00:00,24.442498999999998,22.0574995,22.5,16.839999,15.6,40.705,35.045,65.75,12.0,4.9559999999999995,10.193905838490252,1.8006797711054223,4.281893484476778,12,9,15
2019-12-09 15:30:00,24.5374995,22.0249995,22.5,17.089999499999998,15.6,41.2249985,35.33,70.0,12.5,4.968,9.473138486104151,1.6698445759289728,4.274680243567652,12,9,15
2019-12-09 16:00:00,24.664999,22.0124995,22.5,17.8599995,16.6,38.969997,35.045,74.75,12.5,4.997999999999999,4.955506505133055,0.9963969845733411,4.698006725038665,12,9,16
2019-12-09 16:30:00,24.937499000000003,22.014999,22.5,18.2599995,15.6,33.254999,31.83,84.25,13.0,5.01,2.452029920717411,0.42862858668088194,4.242963535565494,12,9,16
2019-12-09 17:00:00,24.614999,22.014999,22.5,17.609999,14.1,34.154998500000005,30.2699985,87.0,12.5,4.986,5.2233592869591625,0.7546801607527711,3.5822055232705914,12,9,17
2019-12-09 17:30:00,24.2675,22.004998999999998,22.5,17.3599995,13.1,38.6299995,31.2749995,91.5,12.0,4.986,7.992695432992367,1.0519846432619127,3.13014624885409,12,9,17
2019-12-09 18:00:00,24.2749995,21.942498999999998,22.5,17.1499995,12.1,41.014999,33.239998,88.5,12.5,4.997999999999999,12.168936126248253,1.4666192106497244,2.703483846676384,12,9,18
2019-12-09 18:30:00,23.7275,21.91,22.5,17.1700005,10.6,42.7699985,35.054998499999996,91.5,12.5,4.938000000000001,14.58071247144184,1.5556155261930937,2.033666837669868,12,9,18
2019-12-09 19:00:00,23.739999500000003,21.95,22.5,17.2999995,10.6,43.164998999999995,35.924999,88.5,12.0,4.968,15.389776016826252,1.6454225609750257,2.0455922104468742,12,9,19
2019-12-09 19:30:00,24.239999,21.974999,22.5,17.3,10.6,42.82499850000001,36.379999,96.75,12.5,4.908,14.689343253595132,1.561137216570204,2.0111659781846987,12,9,19
2019-12-09 20:00:00,22.915,21.229999499999998,22.5,18.3199995,10.6,44.3999995,37.8400005,94.75,7.0,2.478,12.87799944416947,1.3703828306127357,2.020084672753132,12,9,20
2019-12-09 20:30:00,19.394999499999997,19.2249995,22.5,19.319999,9.6,49.9849985,41.574999000000005,93.0,0.0,0.0,10.093373288080322,0.998226108480627,1.5865563957642355,12,9,20
2019-12-09 21:00:00,18.2575,18.4250005,22.5,19.3199995,9.6,51.879999,42.9749985,93.0,0.0,0.0,8.363537260594565,0.8271467837848978,1.5865563957642355,12,9,21
2019-12-09 21:30:00,17.9025005,18.0024995,22.5,19.22,10.1,53.2349985,43.779998500000005,93.0,0.0,0.0,6.958716498658642,0.7100037608770672,1.807060365530524,12,9,21
2019-12-09 22:00:00,17.7625,17.8425,22.5,18.79,10.1,53.3499985,44.164998999999995,93.0,0.0,0.0,6.705090768993966,0.6841536144952801,1.807060365530524,12,9,22
2019-12-09 22:30:00,17.5249995,17.6374995,22.5,18.53,9.6,53.239999999999995,44.6849995,93.0,0.0,0.0,7.285289827106958,0.7205090216820489,1.5865563957642355,12,9,22
2019-12-09 23:00:00,17.25,17.4750005,22.5,18.3099995,9.1,53.3499985,44.7149985,84.0,0.0,0.0,9.464851336567463,0.9078953663969502,1.402169869672734,12,9,23
2019-12-09 23:30:00,17.0874995,17.335,22.5,18.0599995,8.6,53.360001,44.7249985,85.5,0.0,0.0,9.871549478246134,0.9149935818589161,1.176089067285365,12,9,23
2019-12-10 00:00:00,16.965,17.1999995,22.5,17.87,9.1,53.369999,44.754999,78.0,0.0,0.0,9.932092452461461,0.953410633111046,1.4250601842628936,12,10,0
2019-12-10 00:30:00,16.879999499999997,17.1099995,22.5,17.7,8.1,53.4799975,44.794998,67.5,0.0,0.0,13.510602766436584,1.222861473895164,1.0196910514628228,12,10,0
2019-12-10 01:00:00,16.822499,17.034999499999998,22.5,17.54,8.1,53.4649985,44.839998,86.0,0.0,0.0,10.314385148372526,0.9260062687827364,0.9501382899790398,12,10,1
2019-12-10 01:30:00,16.7699995,16.967498999999997,22.5,17.419999,8.1,53.469997500000005,44.8899975,88.5,0.0,0.0,9.758539153967106,0.8717866757699595,0.9413547186189666,12,10,1
2019-12-10 02:00:00,16.7474995,16.909999499999998,22.5,17.29,9.1,53.4249975,44.909998,87.0,0.0,0.0,7.9086484564611155,0.7553497743232807,1.390764069961559,12,10,2
2019-12-10 02:30:00,16.8199995,16.880000000000003,22.5,17.1899995,10.6,53.164998999999995,44.824999,74.25,0.0,0.0,7.3513315620790305,0.7930080455859395,2.094439829427518,12,10,2
2019-12-10 03:00:00,16.909999499999998,16.914999,22.5,17.1199995,10.6,52.874998,44.744999,70.0,0.0,0.0,8.290963552873968,0.8961870130446336,2.107406942553765,12,10,3
2019-12-10 03:30:00,16.9299995,16.914999,22.5,17.0999995,9.6,52.455,44.8449995,66.25,0.0,0.0,10.808497917549516,1.0858321142757417,1.681722386276686,12,10,3
2019-12-10 04:00:00,16.7974995,16.862499,22.5,17.0399995,9.1,51.949999,44.664998999999995,62.0,0.0,0.0,12.064095759454041,1.1704576823294057,1.4747305752456503,12,10,4
2019-12-10 04:30:00,16.6875,16.79,22.5,16.979999499999998,9.1,51.65,44.344997,61.0,0.0,0.0,11.929387388582063,1.157820430631314,1.4775271194594408,12,10,4
2019-12-10 05:00:00,16.6224995,16.7424995,22.5,16.91,8.6,51.41,43.9899995,49.75,0.0,0.0,14.5439645601813,1.3713593088289522,1.2868532667727965,12,10,5
2019-12-10 05:30:00,16.595,16.7,22.5,16.869999,8.6,51.205,43.635000500000004,51.25,0.0,0.0,14.171013363156503,1.335477493273582,1.2836867985610096,12,10,5
2019-12-10 06:00:00,18.8575,18.322499,22.5,17.1099995,9.6,43.370001,38.729999500000005,52.25,4.5,2.526,14.045993464375607,1.4192574069177208,1.7164611544805521,12,10,6
2019-12-10 06:30:00,21.654999500000002,20.017499,22.5,17.4699995,9.6,34.879999,31.459999500000002,38.5,12.0,4.866,18.996168773249053,1.9276645736129723,1.7417147558079904,12,10,6
2019-12-10 07:00:00,23.0,20.132499,22.5,17.5600005,9.6,33.8799995,29.424999,53.5,12.5,4.902,18.348052005726885,1.852933436227569,1.7127899483924178,12,10,7
2019-12-10 07:30:00,23.057499999999997,20.285,22.5,17.46,9.1,33.954998,28.869999999999997,51.75,12.0,4.878,19.638788744561367,1.9151955008749182,1.4996384052332425,12,10,7
2019-12-10 08:00:00,22.968333335,20.339999,22.5,17.3100005,8.1,34.983331335,29.109998500000003,57.25,13.0,4.878,20.615709007242046,1.8739003217457122,1.0494549988465556,12,10,8
